NH,N,SUMA,MAYOR,MODA,MEDIA,DESVIACION,TIEMPO
1,10000,163968237,32762,26782,16396.00,94.61,0.18
2,10000,163569304,32764,28074,16356.00,94.45,0.10
3,10000,164253055,32765,28074,16425.00,94.34,0.06
4,10000,164027189,32765,25547,16402.00,94.46,0.05
5,10000,162485832,32758,25547,16248.00,94.25,0.04
6,10000,162672930,32758,25547,16267.00,95.09,0.03
7,10000,163526921,32758,25547,16352.00,95.04,0.04
8,10000,163875958,32758,25547,16387.00,95.06,0.03
9,10000,164164109,32758,9961,16416.00,94.95,0.03
10,10000,164341159,32764,28,16434.00,94.36,0.03
11,10000,164549057,32764,25547,16454.00,94.13,0.03
12,10000,164407251,32764,25547,16440.00,94.03,0.02
1,20000,328933478,32767,22879,16446.00,66.66,0.75
2,20000,329532604,32767,28592,16476.00,66.62,0.36
3,20000,328777327,32765,13245,16438.00,66.93,0.25
4,20000,329207783,32765,28074,16460.00,66.88,0.20
5,20000,328092115,32765,25547,16404.00,66.74,0.16
6,20000,328744902,32765,25547,16437.00,66.68,0.15
7,20000,328180991,32765,25547,16409.00,66.48,0.14
8,20000,329003756,32765,25547,16450.00,66.73,0.12
9,20000,327278999,32765,25547,16363.00,66.61,0.11
10,20000,325183315,32765,25547,16259.00,66.60,0.10
11,20000,324504905,32765,25547,16225.00,67.00,0.10
12,20000,325652879,32765,25547,16282.00,67.23,0.09
1,30000,491270491,32767,9962,16375.00,54.63,1.70
2,30000,492743418,32766,6923,16424.00,54.51,0.91
3,30000,494069079,32767,29556,16468.00,54.60,0.64
4,30000,496756822,32765,29556,16558.00,54.51,0.45
5,30000,495673809,32765,28074,16522.00,54.48,0.37
6,30000,496147442,32765,28074,16538.00,54.54,0.32
7,30000,494001891,32765,13509,16466.00,54.45,0.30
8,30000,494023970,32765,25547,16467.00,54.36,0.28
9,30000,494306101,32765,25547,16476.00,54.34,0.25
10,30000,492148272,32765,5651,16404.00,54.23,0.23
11,30000,491118009,32765,5651,16370.00,54.31,0.22
12,30000,493027365,32765,5651,16434.00,54.49,0.21
1,40000,654930401,32767,27102,16373.00,47.19,2.96
2,40000,658376401,32765,30498,16459.00,47.44,1.53
3,40000,658558797,32765,29556,16463.00,47.29,1.07
4,40000,659478421,32766,20183,16486.00,47.37,0.82
5,40000,662000225,32765,6923,16550.00,47.31,0.68
6,40000,661104717,32765,20666,16527.00,47.28,0.60
7,40000,659854156,32765,28074,16496.00,47.18,0.54
8,40000,660544841,32765,28074,16513.00,47.25,0.49
9,40000,659163021,32765,28074,16479.00,47.16,0.45
10,40000,657218475,32765,28074,16430.00,47.15,0.42
11,40000,658017776,32765,28074,16450.00,47.04,0.39
12,40000,659237980,32765,28074,16480.00,47.07,0.37
1,50000,820762102,32767,21602,16415.00,42.21,4.65
2,50000,822850284,32767,25721,16457.00,42.29,2.41
3,50000,822544120,32767,2088,16450.00,42.28,1.64
4,50000,823748040,32765,20183,16474.00,42.18,1.29
5,50000,823690047,32767,25547,16473.00,42.38,1.08
6,50000,824269109,32765,13245,16485.00,42.30,0.99
7,50000,825309930,32765,25547,16506.00,42.24,0.84
8,50000,826780688,32765,20666,16535.00,42.08,0.77
9,50000,826145119,32765,20666,16522.00,42.22,0.70
10,50000,826564765,32765,28074,16531.00,42.20,0.67
11,50000,822250261,32767,32702,16445.00,42.14,0.62
12,50000,821022278,32765,25547,16420.00,42.20,0.66
